debators,order,party,speaker,line,response
biden-trump,1,republican,trump,286,"that’s not what they're talking about, chris. that’s not what they’re talking about. that’s about defunding the police.:31"
biden-trump,1,democrat,biden,287,that is not true.:35
biden-trump,1,republican,trump,288,he doesn't have any law - he has no law enforced - :39
biden-trump,1,democrat,biden,289,that is not true. that’s not --:39
biden-trump,1,republican,trump,290,"oh really? who do you have? name one group that supports you. name one group that came out and supported you, go ahead, like we have time.:46"
biden-trump,1,democrat,biden,291,we don't have time to do anything --:53
biden-trump,1,moderator,wallace,292,"gentleman, i’m gonna take back control. and i want to get to another subject, which is the issue of protests in many cities that have turned violent. in portland, oregon, especially, we had more than 100 straight days of protests, which i think you would agree about peaceful protests. many of those turned into riots. mr. vice president, you say that people who commit crimes should be held accountable. the question i have though is as the democratic nominee, and earlier tonight you said that you are the democratic party right now. have you ever called the democratic mayor of portland the democratic governor of oregon and said ‘hey, you gotta stop this. bring in the national guard. do whatever it takes. that you'd stop the days and months of violence in portland?:40"
biden-trump,1,democrat,biden,293," i don't hold public office now. i am a former vice president.  i've made it clear, i've made it clear in my public statements that the violence should be prosecuted. anyone who committed it --:53"
biden-trump,1,moderator,wallace,294,"but you've never called for the people- excuse me, sir. you’ve never called for the leaders in portland, and in oregon, to call in the national office and knock off 100 days of riots.:05"
biden-trump,1,democrat,biden,295,"they can, in fact, take care of it if he’d just stay out of the way. look-:11"
biden-trump,1,republican,trump,296,oh really? oh really? -- the killer of a young man in the middle of the street and they shot him. for three days portland didn’t do anything.:18
biden-trump,1,moderator,wallace,297,president trump. president trump. i interrupt- president trump:22
biden-trump,1,republican,trump,298,i had to send the us marshals to take care of business --:24
biden-trump,1,moderator,wallace,299,"go ahead, sir:25"
biden-trump,1,democrat,biden,300,"and by the way, you know, his own former spokesperson said, you know, riots and chaos and violence help his cause. that's what this is all about. :34"
biden-trump,1,republican,trump,301,i don’t know who said that.:35
biden-trump,1,democrat,biden,302,i do.:35 
biden-trump,1,republican,trump,303,who?:36
biden-trump,1,democrat,biden,304,i think it was kellyanne conway.:37
biden-trump,1,republican,trump,305, i don't think she said that.:39
biden-trump,1,democrat,biden,306,"she said that. and so here's, here's the point. the point is that is that that's what he is keeps trying to rile everything up. he doesn't want to calm things down. instead of going in and talking to people and say, ‘let's get everybody together, figuring out how to deal with this’, what he does he do? he just poured gasoline on the fire. constantly, at every single solitary time. :00"
biden-trump,1,moderator,wallace,307,"and to end this, button up this segment, i’m going to give you a minute to answer, sir. you have repeatedly warned us- :07"
biden-trump,1,republican,trump,308,-answer his stuff. :08
biden-trump,1,moderator,wallace,309,"you have- no, you've been talking-:11"
biden-trump,1,republican,trump,310,he made a statement- i would love to end it.:12
biden-trump,1,moderator,wallace,311,"i’m asking you-  you know, sir- you know, if you want to switch seats-:17"
biden-trump,1,republican,trump,312,"very quickly, we could do that but if - the national guard it would be over. there’d be no problem, but they don’t want to accept the national guard.:23"
biden-trump,1,moderator,wallace,313,"okay, you have repeatedly criticized the vice president for not specifically calling out antifa and other left-wing groups. but are you willing, tonight, to condemn white supremacists and militia groups? and to say that they need to stand down and not add to the violence in a number of these cities, as we saw in kenosha, as we've seen in portland? are you prepared specifically to do that?:46"
biden-trump,1,republican,trump,314,"sure, i’m prepared to do it. i would say- i would say, almost everything i see is from the left-wing, not from the right wing-:55"
biden-trump,1,moderator,wallace,315,"so what do you, what do you say-:56"
biden-trump,1,republican,trump,316,i'm willing to do anything i want to see peace.:57
biden-trump,1,moderator,wallace,317,"then do it, sir. :59"
biden-trump,1,democrat,biden,318,"say it, do it, say it.:00"
biden-trump,1,republican,trump,319,"you want to call them -- what do you want to call them? give me a name, give me --:04"
biden-trump,1,moderator,wallace,320," white supremacists and, white supremacists and right-wing --:07"
biden-trump,1,democrat,biden,321,the proud boys.:07
biden-trump,1,republican,trump,322,"proud boys, stand back and stand by. but i'll tell you what, i'll tell you what, somebody's got to do something about antifa and the left because this is not a right-wing problem. this is a left-wing problem:19"
biden-trump,1,democrat,biden,323,his own fbi director said -- white supremacists. antifa is an idea not an organization. militia --:27
biden-trump,1,republican,trump,324,oh you’ve got to be kidding me:27
biden-trump,1,democrat,biden,325,his fbi said --:28
biden-trump,1,republican,trump,326,"well then, you know what --:29"
biden-trump,1,moderator,wallace,327,"gentlemen, we’re done, sir. we’re going to go on to the next-:39"
biden-trump,1,democrat,biden,328,everybody in your administration tells you the truth that that’s a bad to bad idea. you have no idea. :43
biden-trump,1,republican,trump,329,"antifa is a dangerous, radical group --:46"
biden-trump,1,moderator,wallace,330,"gentleman, we're now moving on to the trump and biden records. :50"
biden-trump,1,republican,trump,331,-- they overthrow you :51
biden-trump,1,moderator,wallace,332,"president, i'm gonna ask you a question. when the president seats a second term, it’s generally a referendum on his record. but vice president biden you'd like to quote your dad's sayings which is ‘don't compare me to the almighty, compare me to the alternative’. and in this case, sir, you are the alternative. looking at both of your records, i'm going to ask each of you, why should voters you, president over your opponent. in this segment, president trump you'll go first. 10 minutes.:19"
biden-trump,1,republican,trump,333,"because there has never been an administration or president who has done more than i've done in a period of three and a half years, and that's despite the impeachment hoax. and you saw what happened today with hillary clinton where a whole big con job. but despite going through all these things, where at a fight both flanks, behind me and above, there has never been an administration, that's done what i've done. the greatest, before covid came in, the greatest economy in history. lowest unemployment numbers. everything was good, everything was go -- and by the way, there was unity. people were calling me. for the first time in years they were calling, and they were saying ‘it's time maybe’. and then what happened? we got hit but now we're building it back up again. a rebuilding of the military including space force and all of the other things. a fixing of the va, which was a mess under him. 308,000 people died. they didn't have proper health care. he was a mess. and we now got a 91% approval rating at the va. our vets, we take care of our vets. but we've rebuilt our military. the job that we've done- and i'll tell you so some people say me the most important, by the end of the first term, i'll have approximately 300 federal judges, court of appeals judges 300. and hopefully, three great supreme court judges,  justices. that is a record, the likes of which very few people- and you know one of the reasons i have so many judges? because president obama and him left me 128 judges to fill. when you leave office, you don't leave any judges. that's like, you just don't do that. they left 128 openings. and if i were a member of his party, because they have a little different philosophy, i'd say ‘if you left us 128 openings, you can't be a good president. you can't be a good vice president’. but i want to thank you because it gives us almost, it'll probably be above that by the end of this term, 300 judges. it's a record. :22"
biden-trump,1,moderator,wallace,334,"looking at both your records, why should voters elect you president, as opposed to president trump -- you get two minutes uninterrupted. :29"
biden-trump,1,democrat,biden,335,"under this president we become weaker, sicker. poorer, more dividing and more violent. when i was vice president, we inherited a recession. i was asked to fix it, i did. we left a booming economy, and he caused the recession. with regard to be weaker, the fact is that i've gone head to head with putin and made it clear to him we're not going to take any of his stuff. he's putin’s puppy.  he still refuses to even say anything to putin about the bounty on the heads of american soldiers.:01"
biden-trump,1,republican,trump,336,your son --:02
biden-trump,1,moderator,wallace,337,"no, no, no --:03"
biden-trump,1,democrat,biden,338,and by the way --:04
biden-trump,1,moderator,wallace,339,"mr. president. wait a minute. mr. president, your campaign agreed that both sides would get two answers uninterrupted. your side agreed to it. why don't you observe what your campaign agreed to as a ground rule. okay, sir? :18"
biden-trump,1,democrat,biden,340,never keeps his word.:19
biden-trump,1,moderator,wallace,341,"no, i’m not asking. that was rhetorical question. :23"
biden-trump,1,democrat,biden,342,can you go back 30 seconds? :25
biden-trump,1,moderator,wallace,343,"yeah, yes you may. go ahead.:26"
biden-trump,1,democrat,biden,344,"so, thirdly we’re poorer. the billionaires have gotten much, much more wealthy by a tune of over four three to $400 billion more, just since covid. you in the home, you got less. you're in more trouble than you were before. in terms of being more violent, when we were in office there were 15% less violence in america than there is today. he's president of the united states. it’s on his watch. and with regard to more divided, the nation can't stay divided. we can't be this way. and speaking of my son, the way you talk about the military, the way you talk about them be losers and being, and just being suckers. my son was in iraq. he spent a year there. he got, he got the bronze star. he got the conspicuous service medal. he was not a loser. he was a patriot. and the people left behind there were heroes.:23"
biden-trump,1,republican,trump,345,really? you talking about hunter? are you talking about hunter?:23
biden-trump,1,democrat,biden,346,"and i resent -- i’m talking about my son, beau biden. you’re talking about --:30"
biden-trump,1,republican,trump,347,"i don’t know beau. i know hunter. hunter got thrown out of the military. he was thrown out, dishonorably discharged for cocaine use.:37"
biden-trump,1,democrat,biden,348,"that's not true, he wasn’t dishonorably discharged. none of that is true.:39"
biden-trump,1,republican,trump,349,"-- and he didn't have a job until you became vice president. once you became vice president he made a fortune in ukraine, in china, in moscow and various other places --:48"
biden-trump,1,democrat,biden,350,that is simply not true.:49
biden-trump,1,republican,trump,351,he made a fortune and he didn’t have a job.:50
biden-trump,1,democrat,biden,352,"my son -- my son -- my son, like a lot of people, like a lot of people you know i had a drug problem. he's overtaken it. he's fixed it. he's worked on it. and i'm proud of him.:02"
biden-trump,1,republican,trump,353,but why was he given tens of millions of dollars?:05
biden-trump,1,democrat,biden,354,he wasn't given tens of millions of dollars:08
biden-trump,1,moderator,wallace,355,president trump you’ve --:11
biden-trump,1,democrat,biden,356,already been discredited :13
biden-trump,1,moderator,wallace,357," we've already been through this, i think the american people would rather hear about more substantial subjects. well, you know, as the moderator sir i'm going to make a judgement call there.:20"
biden-trump,1,republican,trump,358,-- 3.5 million dollars. let’s talk about moscow --:24
biden-trump,1,democrat,biden,359,that is not true. that report is totally discredited.:25
biden-trump,1,moderator,wallace,360,gentlemen --:27
biden-trump,1,democrat,biden,361,mitt romney on that committee said it wasn't worth taxpayers money. that report was written for political reasons.:33
biden-trump,1,moderator,wallace,362,"you know, i'd like to talk about climate change.:36"
biden-trump,1,democrat,biden,363,so would i --:37
biden-trump,1,moderator,wallace,364,"okay, the forest fires in the west, are raging now. they have burned millions of acres. they have displaced hundreds of thousands of people. when state officials there blame the fires on climate change, mr. president, you said, ‘i don't think the science knows.’ over your four years, you have pulled the u.s. out of the paris climate accord. you have rolled back a number of obama environmental records. what do you believe about the science of climate change? and what will you do in the next four years to confront it?:11"
biden-trump,1,republican,trump,365,"i want crystal clean water and air. i want beautiful clean air. we have now the lowest carbon, if you look at our numbers right now, we are doing phenomenally. but i haven't destroyed our businesses, our businesses are put out of commission. if you look at the paris accord, it was a disaster from our standpoint. and people are actually very happy about what's going on, because our businesses are doing well as far as the fires are concerned, you need forest management, in addition to everything else. the forest floors are loaded up with trees, dead trees, that a years old and they're like tinder, and leaves and everything else. you drop a cigarette and then the whole forest burns. you've got to have forest management-:52"
biden-trump,1,moderator,wallace,366,"what do you, what do you believe about the science of climate change, sir?:57"
biden-trump,1,republican,trump,367,"i believe that we have to do everything we can to have immaculate air, immaculate water and do whatever else we can that's good. you know we're planting a billion trees, the billion tree project, and it's very exciting.:08"
biden-trump,1,moderator,wallace,368,"do you believe that human pollution, gashouse, greenhouse gas emissions contributes to the global warming of this planet?:15"
biden-trump,1,republican,trump,369,"i think a lot of things do, but i think to an extent yes. i think, to an extent, yes. but i also think we have to do better management of our forests. every year, i get the call. ‘california is burning california's burning.’ if that was cleaned, if that were, if you had forest management, good forest management, you wouldn't be getting those calls. you know in europe they live that, forest cities, they call forest cities. they maintain their forests. they manage their forests. i was with the head of a major country. it's a forest city. he said, ‘sir, we have trees that are far more, they ignite much easier than california, there shouldn't be that problem’. i spoke with the governor about it. i'm getting along very well with the governor, but he said you know at some point, he can't every year have hundreds of thousands of acres of land just burned to the ground. that's burning down because of a lack of  management.:07"
biden-trump,1,moderator,wallace,370,"but sir, if you believe in the science of climate change, why have you rolled back the obama clean power plan, which limited carbon emissions in power plants? why have you relaxed --:16"
biden-trump,1,republican,trump,371,because it was driving energy prices through the sky --:22
biden-trump,1,moderator,wallace,372,why have you relaxed fuel economy standards that are going to create more pollution from cars?:27
biden-trump,1,republican,trump,373,"not really, because what's happening is the car is much less expensive and it's a much safer car. and you're talking about a tiny difference. and then what would happen, because of the cost of the car, you would have at least double and triple the number of cars purchased. we have the old slugs out there that are 10-12 years old. if you did that the car would be safer, it would be much cheaper-:48"
biden-trump,1,moderator,wallace,374,"in california, they simply ignored -- :51"
biden-trump,1,republican,trump,375,"take a lot of cars off the market because people would be able to afford a car. now, so, and by the way we're gonna see how that turns out, but a lot of people agree with, many people. the car has gotten so expensive because they have computers all over the place for an extra little bit of gasoline. and i'm okay with electric cars too. i think i'm all for electric cars with big incentives or electric cars. but what they've done in california is just-:17"
biden-trump,1,moderator,wallace,376,"vice president biden i'd like you to respond to the president's climate change record, but i also want to ask you about a concern. you proposed $2 trillion in green jobs you talk about new limits, not abolishing, but new limits on fracking. ending the use of fossil fuels to generate electricity by 2035. and zero, net emission of greenhouse gases by 2050. the president says, a lot of these things would tank the economy and cost millions of jobs.:46"
biden-trump,1,democrat,biden,377,"he's absolutely wrong, number one. number two, if in fact, when -- during our administration recovery act i was able to bring down the cost of renewable energy to cheaper than, or as cheap as coal, and gas, and oil. nobody's going to build another coal fire plant in america. no one's going to build another oil fire in america. they're going to move to renewable energy, number one. number two, we're going to make sure that we are able to take the federal fleet and turn it into a fleet that's run on their electric vehicles. making sure that they can do that we're gonna put 500,000 charging stations in all of the highways that we're going to be building in the future. we're going to build a economy, that in fact, is going to provide for the ability, us to take 4 million buildings and make sure that they in fact are weatherized. in a way that, in fact, they'll, they'll emit significantly less gas and oil because the heat will not be going out. there’s so many things we can do now to create thousands and thousands of jobs. we can get to net zero in terms of energy production by 2035. not only not costing people jobs, creating jobs. creating millions of jobs. not 15 bucks an hour, but prevailing wage. by having a new infrastructure that in fact is green. and the first thing i will do, i will rejoin the paris accord. i will join the paris accord because with us out look what's happening. it's all falling apart. and talk about someone who has no no relationship with foreign policy. brazil, the rainforest to brazil are being torn down, are being ripped down. more, more carbon is absorbed in that rainforest than every bit of carbon that's admitted the united states. instead of doing something about that, i would be gathering up and making sure we had the countries of the world coming up with 20 billion dollars. and say, ‘here's $20 billion. stop, stop, tearing down the forest. and if you don't, then you're going to have significant economic consequences’.:52"
biden-trump,1,moderator,wallace,378,"what about the argument that president trump basically says that you have to balance, environmental interests, and economic interests? and he's drawn a line:02"
biden-trump,1,democrat,biden,379,"but if he hadn't drawn a line. he still, for example, makes sure that we- he wants to make sure that methane is not a problem. we could, you could now emit more methane without it being a problem. methane. this is a guy who says that we don't have to have mileage standards for automobiles that exist now. he says that, the fact that it's all true and here’s the deal --:22"
biden-trump,1,republican,trump,380,"he’s talking about the green new deal. and it's not 2 billion or 20 billion as you said, it's $100 trillion. :31"
biden-trump,1,democrat,biden,381,i'm talking about -:31
biden-trump,1,republican,trump,382,you wanna rip down buildings and rebuild the buildings -- where airplanes are out of business. where there are two car systems or where they want to take out the cows. :40
biden-trump,1,democrat,biden,383,that’s not true. not true. not true. not true.:43
biden-trump,1,republican,trump,384,"that's not true either, right? now, this is a, this is a 100. that's more money than our country could make in a hundred years.:50"
biden-trump,1,democrat,biden,385,that is simply not true. :55
biden-trump,1,moderator,wallace,386,"let me -- let me -- wait a minute, sir. i actually have studied your plan, and it includes upgrading 4 million buildings, weatherizing 2 million homes over four years, building one and a half million energy efficient homes. so the question becomes, the president said, i think some people who support the president would say, ‘that sounds like it's going to cost a lot of money and hurt the economy.’:18"
biden-trump,1,democrat,biden,387," what it's gonna do, it’s gonna create thousands and millions of jobs. good-paying jobs-:22"
biden-trump,1,moderator,wallace,388,"let him finish, sir.:23"
biden-trump,1,democrat,biden,389,"he doesn’t know how to do that. the fact it’s going to create millions of good paying jobs. and these tax incentives to people to weatherize, where he wants to get her get rid of, is going to make the economy much safer. look how much we're paying now to deal with the hurricanes, with a deal with- by the way he has an answer for hurricanes. he said, ‘maybe we should drop a nuclear weapon on them, they may' --:44"
biden-trump,1,republican,trump,390,i never said that you made it up. you make up a lot.:46
biden-trump,1,democrat,biden,391,"and here's the deal, we are going to be in a position where we can create, hard, hard good jobs by making sure the environment is clean, and we all are in better shape. we spend billions of dollars now, billions of dollars, on floods, hurricanes rising seas. we're in real trouble. look what's happened just in the midwest with these storms that come through and wipe out entire sections and counties in iowa. they didn't happen before. there because of global warming. we make up 15% of the world's problem. we in fact- but the rest of the world we got to get them to come along. that's why we have to get back into, back into the paris accord. :32"
biden-trump,1,moderator,wallace,392,"all right, gentlemen. :33"
biden-trump,1,republican,trump,393,"chris, so why didn't he do it for 47 years? you were vice president. why didn't you get the world- china sends up real dirt into the air. russia does. india does. they all do. we're supposed to be good. and by the way, he made a couple of statements, the green new deal is 100 trillion dollar plan --:48"
biden-trump,1,democrat,biden,394,that is not my plan. the green new deal is not my plan. :56
biden-trump,1,moderator,wallace,395,"gentlemen, gentleman --:58"
biden-trump,1,republican,trump,396,"you said i said something about the military. he and his friends made it up, and then they went with it. i never said it. what he did is he said- he called the military stupid bastards:06"
biden-trump,1,moderator,wallace,397,"mr. vice president, mr. vice president -- please, stop.:15"
biden-trump,1,republican,trump,398,i would never say that.:18
biden-trump,1,moderator,wallace,399,mr. vice president answer his question his final question. :21
biden-trump,1,democrat,biden,400,the final question is i can't remember which of all is real.:24
biden-trump,1,moderator,wallace,401,"i’m having a little trouble myself. but about the economy, and about this question of what it's going to cost. the green new deal and the idea of what, what your environmental changes to --:38"
biden-trump,1,democrat,biden,402,the green new deal will pay for itself as we move forward. you're not going to build plants that in fact are great polluting plans. :44
biden-trump,1,moderator,wallace,403,do you support the green new deal?:46
biden-trump,1,democrat,biden,404,pardon me? :47
biden-trump,1,moderator,wallace,405,do you support the green new deal?:49
biden-trump,1,democrat,biden,406,"no, i don't support the green new deal. :50"
biden-trump,1,republican,trump,407,oh you don't? well that’s a big statement. you just lost the radical left.:55
biden-trump,1,democrat,biden,408,i support the biden plan that i put forward.:59
biden-trump,1,moderator,wallace,409,ok.:00
biden-trump,1,democrat,biden,410,"the biden plan, which is different than what he calls the radical green new deal. :02"
biden-trump,1,moderator,wallace,411,"all right, gentlemen, final segment. election integrity. as we meet tonight, millions of americans are receiving mail-in ballots or going to vote early. how confident should we be that this will be a fair election and what are you prepared to do over the next five plus weeks, because it'll not only be the election day but also counting some ballots mailing ballots after election day. what are you prepared to do to reassure the american people that the next president will be the legitimate winner of this election? in this final segment, mr. vice president, you go first.:41"
biden-trump,1,democrat,biden,412," prepared to let people vote. you should go to iwillvote.com. decide how they're going to vote, when they're going to vote and what means by which they're going to vote. his own homeland security director, as well as the fbi director, says there's no evidence at all that mail-in ballots are a source of being manipulated and cheating. they said that. the fact is that they're going to be millions of people, because of covid, that are going to be voting by mail-in ballots, like he does by the way. he sits behind the resolute desk and sends his ballot to florida, number one. number two, we're going to make sure that those people who want to vote in person are able to vote because enough poll watchers are there to make sure they can socially distance, the polls are open on time and they'll pull stay open until the votes are counted. and this is all about trying to dissuade people from voting because he's trying to scare people into thinking that it's not gonna be legitimate. show up and vote. you will determine the outcome of this election. vote. vote. vote. if you're able to vote early in your state, vote early. if you're able to vote in person, vote in person. vote whatever way is the best way for you because you will- he cannot stop you from being able to determine the outcome of this election. whether or not when the votes are counted, and they're all counted, that will be accepted. if i win, that will be accepted.if i lose, it will be accepted. but, by the way, if, in fact, he says he's not sure what he's gonna accept, let me tell you something, it doesn't matter. because if we get the votes, it’s going to be all over. he's going to go. he won’t stay in power. it won't happen. it won't happen. so vote. just make sure you understand you have it in your control to determine what this country is going to look like the next four years. is it going to change or are we gonna get four more years of these lies?:31"
biden-trump,1,moderator,wallace,413,"mr. president, two minutes. :32"
biden-trump,1,republican,trump,414,"so when i listened to joe talking about a transition, there's been no transition from when i won. i won that election. and if you look at crooked hillary clinton, if you look at all of the different people, there was no transition. because they came after me trying to do a coup. they came after me spying on my campaign. they started on the day i won and even before i won. from the day i came down the escalator with the first lady, they were a disaster, a grace to our country. and we've caught them. we've caught them all. we've got it all on tape. we've caught them all. and by the way, you gave the idea for the logan act against general flynn. you better take a look at that because we caught you in a sense. and president obama was sitting in the oval office. he knew about it too so don't tell me about a free transition. as far as the ballots is concerned, it's a disaster. a solicited ballot. okay, so listen it is okay. you're soliciting, you're asking they send it back, you send it back. i did that. if you have an unsolicited, they're sending millions of ballots all over the country. there’s fraud. they found them in creeks. they found some with the name trump, just happen to have the name trump, just the other day. in wastepaper baskets. they’re being sent all over the place. they sent two, in a democratic area they sent out 1000 ballots. everybody got two ballots. this is going to be a fraud like you've never seen. the other thing, it's nice for november 3, you're watching and you see who won the election. and i think we're gonna do well because people are really happy with the job they've done. but you know what, we won't know, we might not know for months. because these balances are going to be all over. take a look at what happened in manhattan. take a look at what happened in new jersey. take a look at what happened in virginia and other places. they're not losing 2%, 1%, which by the way is too much. an election can be won or lost with that. they’re losing 30 and 40%. a fraud, and it's a shame. and can you imagine where they say, ‘you have to have your ballot in by november 10’. november 10. that means 7 days after the election, in theory, should have been announced. we have major states with that. all run by democrats. all run by democrats. it’s a rigged election.:40"
biden-trump,1,moderator,wallace,415,"okay, okay, sir. president trump, you’re gonna be able to continue. you have been charging for months and mail-in balloting is going to be a disaster. you say it's going to lead to fraud. but in 2018, the last midterm election, 3, million people voted mail-in voting. that was a quarter, more than a quarter, of all the voters that year cast their ballots by mail. now that millions of mail-in ballots have gone out, what are you going to do about it? and are you counting on the supreme court, including a justice barrett, to settle on a disputes?:17"
biden-trump,1,republican,trump,416,"yeah, i think we're getting them to look at the ballots, differently. i don't think i want them in terms of the election itself, but for the ballots i'd say. because what’s happening is incredible. i just heard, i read today where 1% of the ballots for 2016 were invalidated. they, they take them ‘we don't like them. we don't like them’.:36"
biden-trump,1,moderator,wallace,417,there are millions of ballots going out right now.:39
biden-trump,1,republican,trump,418,you do a solicited ballot.:42
biden-trump,1,moderator,wallace,419,"no, no, i'm asking you about the fact that millions of people --:46"
biden-trump,1,republican,trump,420,"you go and vote. you go and vote, like they used to do. you either do a solicited ballot, where you're sending it in and sending it back in and your sending. we have mailmen with lots of a- did you see what's going on, take a look at west virginia, mail-in ballots. they're being sold. they're being dumped in rivers. this is a horrible thing for our country. this is no -- this is not going to end well.:12"
biden-trump,1,democrat,biden,421,"there is no evidence of that. five states have had mail-in ballots in the last decade or sol, including two republican states. and you don't have to solicit the ballot. it's sent to you, and sent to your home. all we're saying is, they're saying is, that there has to be a postmark, by the time by election day. if it just doesn't get in until the seventh, eighth, ninth, it still should be counted. he’s just afraid of counting the votes because-:38"
biden-trump,1,republican,trump,422,you’re wrong. you’re wrong:41
biden-trump,1,moderator,wallace,423,and i want to continue with you on this -- vice president biden --:44
biden-trump,1,republican,trump,424,"chris, he’s so wrong when he makes a statement like that:45"
biden-trump,1,moderator,wallace,425,"excuse me. vice president biden, the biggest problem, in fact, over the years, with mail-in voting has not been fraud, historically. it has been that sizable number, sometimes hundreds of thousands of ballots, are thrown out because they have not been properly filled out or there is some other irregularity they just see through that deadline. so the question i have is, are you concerned that the supreme court with a justice barrett will settle any disputes?:12"
biden-trump,1,democrat,biden,426,"i'm concerned that any court would settle this. because here's the deal, when you, when you get a ballot and you fill it out, you're supposed to have an affidavit. if you didn't know, you have someone say that this is me. you should be able to, if in fact you can verify that’s you when the, before the ballot is thrown out, that's sufficient to be able to count the ballot, because someone made a mistake in not dotting the correct i. who they voted for, testify, say who they voted for, say to you ‘that is totally legitimate’:46"
biden-trump,1,moderator,wallace,427,alright --:49
biden-trump,1,republican,trump,428,"when you have 80 million ballots sent in and swamping the system -- you know it can't be done, you know it can’t.  and already there have been --:56"
biden-trump,1,moderator,wallace,429,"alright, so wait a minute. final question is, in eight states, election workers are prohibited, currently by law in eight states, from even beginning to process ballots, even take them out of the envelopes and flatten them, until election day. that means that it's likely, because there's going to be a huge increase in mail-in balloting, that we are not going to know on election night who the winner is. and it could be days, it could be weeks.:25"
biden-trump,1,republican,trump,430,could be months. :28
biden-trump,1,moderator,wallace,431,"-- until we know who the new president is. so i first for you sir. finally, for the, for the vice president. i hope neither of you will interrupt the other. will you urge our supporters to stay calm during this extended period, not to engage in any civil unrest? will you pledge tonight that you will not declare victory until the election has been independently certified? president trump will go first.:54"
biden-trump,1,republican,trump,432,"i’m urging my supporters to go into the polls and watch very carefully because that's what has to happen. i am urging them to do it. as you know, today there was a big problem. in philadelphia, they went into watch, they were called poll watchers, a very safe very nice thing. they were thrown out. they weren't allowed to watch. you know why? because bad things happen in philadelphia. bad things. and i am urging, i am urging my people- i hope it's gonna be a fair election. if it's a fair election, i am 100% on board. but if i see 10s of thousands of ballots being manipulated. i can't go along with that. :31"
biden-trump,1,moderator,wallace,433,does that mean you are gonna tell your people to take to the streets? :32
biden-trump,1,republican,trump,434,"i’ll tell you what it means. it means you have a fraudulent election. you're not equipped to, these people aren't equipped to handle it, number one. number two, they cheat. they cheat. hey, they found balance in a wastepaper basket days ago and they all had the name, military fellas. they were military, they all had the name, trump on them. you think that’s good?:51"
biden-trump,1,moderator,wallace,435,"vice president biden, final question for you. will you urge your supporters to stay calm while the vote is counted? and will you pledge not to declare victory until the election is independently certified?:05"
biden-trump,1,democrat,biden,436,"yes. here's the deal, they count the ballots, as you pointed out some of these ballots in some states can't even be open until election day. and if there's thousands of ballots, it’s gonna take time to do it. and by the way, our military. they've been voting, by ballots since the end of the civil war in effect. and that's what's happened gonna happen. why was it not, why is it for them to somehow not fraudulent? it's the same process. it's honest. no one has established at all, that there is fraud related to mail-in ballots. that somehow it's a fraudulent --:41"
biden-trump,1,republican,trump,437,it's already been established. look at --:45
biden-trump,1,moderator,wallace,438,you had an opportunity to respond. go ahead.:48
biden-trump,1,democrat,biden,439,"he has no idea what he's talking about. here's the deal, the fact is, i will accept it and he will too. because you know why? because once the winner is declared, after all the, all the ballots are counted, all the votes are counted, that'll be the end of it. that'll be the end of it. and if it's me, in fact, fine. and if it's not me, i'll support the outcome. and i'll be a president, not just for the democrats. i'll be president for democrats and republicans. and this guy --:16"
biden-trump,1,republican,trump,440,i want us to --:21
biden-trump,1,moderator,wallace,441,"gentlemen? will you say that’s the end of it? this is the end of this debate. we're going leave it there. to be continued in more debates as we move on. president trump, vice president biden, it's been an interesting hour and a half. i want to thank you both for participating in the first of three debates that you have agreed to engage in. we want to thank case western reserve university, and the cleveland clinic for hosting this event. the next debate, sponsored by the commission on presidential debates, will be one week from tomorrow. october 7 at the university of utah in salt lake city. the two vice presidential nominees vice president mike pence and senator kamala harris will debate at 9pm eastern that we hope you watch. until then, thank you and good night.
"
biden-trump,2,moderator,welker,1,"a very good evening to both of you. this debate will cover six major topics. at the beginning of each section, each candidate will have two minutes, uninterrupted, to answer my first question. the debate commission will then turn on their microphone only when it is their turn to answer, and the commission will turn it off exactly when the two minutes have expired. after that, both microphones will remain on, but on behalf of the voters, i'm going to ask you to please speak one at a time. the goal is for you to hear each other and for the american people to hear every word of what you both have to say. and so with that, if you're ready, let's start.and we will begin with the fight against the coronavirus. president trump, the first question is for you. the country is heading into a dangerous new phase. more than 40,000 americans are in the hospital tonight with covid, including record numbers here in tennessee. and since the two of you last shared a stage, 16,000 americans have died from covid. so please be specific: how would you leave the country during this next stage of the coronavirus crisis? two minutes, uninterrupted.trump and biden on covid-19[]"
